City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Metropolitan_Area
Amritsar,2019-07-02,35.45,85.48,11.67,10.73,21.03,19.23,0.46,7.28,28.92,3.99,2.05,9.95,85.48,Satisfactory,0
Amritsar,2019-07-03,39.52,101.22,11.6,10.62,17.19,19.09,0.38,6.6,17.15,3.67,1.7,9.08,101.22,Moderate,0
Amritsar,2019-07-04,39.29,104.66,11.42,10.8,16.89,19.43,0.38,6.95,15.28,3.71,1.61,6.96,104.66,Moderate,0
Amritsar,2019-07-05,15.97,45.06,11.65,10.65,17.36,18.97,0.47,5.66,14.08,5.15,1.7,6.22,45.06,Good,0
Amritsar,2019-07-06,33.24,67.52,12.19,10.16,19.89,19.88,0.37,6.76,15.75,4.6,2.08,9.27,67.52,Satisfactory,0
Amritsar,2019-07-07,23.68,49.41,14.59,8.8,18.37,18.25,0.59,2.13,17.59,4.11,1.79,8.63,49.41,Good,0
Amritsar,2019-07-08,38.8,110.12,13.85,9.07,15.9,16.02,0.47,5.1,25.15,3.47,1.9,8.07,110.12,Moderate,0
Amritsar,2019-07-09,25.52,67.57,12.78,9.21,10.32,3.77,0.45,1.71,36.79,3.0,1.26,6.12,67.57,Satisfactory,0
Amritsar,2019-07-10,52.38,135.9,22.33,16.7,25.97,11.78,0.34,7.4,23.79,2.27,0.86,5.37,135.9,Moderate,0
Amritsar,2019-07-11,60.87,154.12,49.82,27.4,42.48,24.11,0.24,7.78,23.29,3.11,0.82,10.43,154.12,Moderate,0
Amritsar,2019-07-12,48.44,135.54,41.18,25.05,47.83,33.67,0.48,4.99,21.32,3.19,1.09,9.54,135.54,Moderate,0
Amritsar,2019-07-13,50.87,122.29,25.26,15.78,23.76,49.94,0.3,5.78,28.65,2.94,0.87,10.68,122.29,Moderate,0
Amritsar,2019-07-14,24.63,44.26,40.95,26.07,35.88,83.09,0.2,4.37,26.3,3.32,0.84,10.17,44.26,Good,0
Amritsar,2019-07-15,41.52,67.16,35.12,18.92,32.67,63.6,0.32,5.2,22.48,2.22,0.81,9.36,67.16,Satisfactory,0
Amritsar,2019-07-16,32.36,55.29,17.81,10.18,25.52,14.76,0.3,7.66,16.87,3.19,1.08,9.33,55.29,Satisfactory,0
Amritsar,2019-07-17,24.46,48.21,16.32,10.4,25.54,11.47,0.29,8.03,19.29,3.32,1.11,6.4,48.21,Good,0
Amritsar,2019-07-18,31.59,62.79,31.8,20.49,41.64,22.79,0.39,5.37,18.33,3.13,1.08,8.1,62.79,Satisfactory,0
Amritsar,2019-07-19,29.65,57.49,17.25,14.02,26.67,13.26,0.4,4.57,20.27,3.68,1.13,7.96,57.49,Satisfactory,0
Amritsar,2019-07-20,36.65,64.81,13.68,11.3,21.67,12.08,0.53,8.0,18.76,3.59,1.14,9.62,64.81,Satisfactory,0
Amritsar,2019-07-21,34.1,60.06,11.67,10.68,20.93,11.57,0.47,17.74,22.13,4.25,1.14,7.74,60.06,Satisfactory,0
Amritsar,2019-07-22,43.15,76.76,14.02,10.4,17.86,11.33,0.31,11.1,16.24,3.4,1.25,13.71,76.76,Satisfactory,0
Amritsar,2019-07-23,48.85,74.56,7.77,9.49,17.26,10.22,0.17,12.12,22.14,4.4,1.15,14.56,74.56,Satisfactory,0
Amritsar,2019-07-24,43.72,69.77,7.82,9.53,17.1,10.2,0.38,15.18,27.31,4.18,1.14,13.14,69.77,Satisfactory,0
Amritsar,2019-07-25,28.22,53.0,8.29,9.31,16.63,10.16,0.27,12.54,21.49,3.5,1.06,10.07,53.0,Satisfactory,0
Amritsar,2019-07-26,24.73,49.38,9.45,9.94,18.63,10.66,0.5,11.8,14.03,3.7,1.12,13.25,49.38,Good,0
Amritsar,2019-07-27,27.5,48.96,9.94,10.97,18.41,10.72,0.43,15.86,16.11,3.91,1.14,12.61,48.96,Good,0
Amritsar,2019-07-28,26.73,47.19,13.19,13.84,21.83,11.87,0.63,16.16,7.2,5.0,1.15,11.83,47.19,Good,0
Amritsar,2019-07-29,29.12,48.46,12.49,14.06,20.12,11.88,0.26,14.42,9.09,4.03,1.1,12.32,48.46,Good,0
Amritsar,2019-07-30,25.95,51.61,16.38,14.3,23.36,13.78,0.08,11.39,13.14,4.32,1.18,13.25,51.61,Satisfactory,0
Amritsar,2019-07-31,17.41,41.49,9.36,9.96,17.13,10.51,0.35,12.07,14.03,3.58,1.09,8.2,41.49,Good,0
Amritsar,2019-08-01,23.92,45.63,8.83,10.22,17.6,10.46,0.51,21.06,11.71,3.73,1.13,5.79,45.63,Good,0
Amritsar,2019-08-02,16.58,37.38,9.06,9.41,17.4,10.23,0.1,9.62,18.66,3.33,1.12,4.83,37.38,Good,0
Amritsar,2019-08-03,24.34,49.36,9.15,9.82,17.87,10.23,0.54,5.44,16.52,3.32,1.11,8.31,49.36,Good,0
Amritsar,2019-08-04,41.6,63.19,7.75,9.07,16.81,10.07,0.54,5.36,13.28,4.21,1.16,3.18,63.19,Satisfactory,0
Amritsar,2019-08-05,31.11,54.02,8.11,9.13,15.87,10.09,0.24,4.81,10.51,3.88,1.09,8.74,54.02,Satisfactory,0
Amritsar,2019-08-06,33.02,56.3,8.78,9.18,17.56,10.12,0.28,5.25,16.48,3.67,1.15,12.32,56.3,Satisfactory,0
Amritsar,2019-08-07,27.95,50.61,7.85,8.96,16.73,10.06,0.5,5.53,17.22,3.35,1.13,12.05,50.61,Satisfactory,0
Amritsar,2019-08-08,27.18,64.55,8.85,8.96,16.41,10.13,0.48,2.96,14.03,3.75,1.11,13.8,64.55,Satisfactory,0
Amritsar,2019-08-09,21.42,44.31,8.6,9.28,17.6,10.27,0.15,5.62,12.0,3.85,1.16,4.09,44.31,Good,0
Amritsar,2019-08-10,21.94,49.35,8.25,9.3,17.08,10.06,0.51,7.89,13.87,3.59,1.13,2.47,49.35,Good,0
Amritsar,2019-08-11,27.52,52.67,8.47,9.0,16.78,10.12,0.49,4.6,14.89,3.32,1.11,3.37,52.67,Satisfactory,0
Amritsar,2019-08-12,32.26,59.32,7.63,9.02,16.62,10.05,0.27,7.12,12.27,3.51,1.14,3.88,59.32,Satisfactory,0
Amritsar,2019-08-13,20.54,44.11,9.32,8.87,18.19,10.08,0.28,6.38,14.61,2.8,1.12,4.31,44.11,Good,0
Amritsar,2019-08-14,23.62,49.13,12.23,9.02,21.25,10.42,0.76,5.33,10.8,2.93,1.13,2.0,49.13,Good,0
Amritsar,2019-08-15,23.28,50.89,13.5,9.19,22.46,10.72,0.62,5.42,10.12,3.24,1.13,1.98,50.89,Satisfactory,0
Amritsar,2019-08-16,22.43,46.17,13.5,9.19,22.22,10.72,0.57,5.57,10.14,3.0,1.1,2.7,46.17,Good,0
Amritsar,2019-08-17,19.43,39.75,13.5,9.19,22.69,10.72,0.42,6.13,14.29,3.16,1.13,2.0,39.75,Good,0
Amritsar,2019-08-18,11.69,37.87,13.5,9.19,22.69,10.72,0.56,9.05,16.87,2.86,1.13,2.15,37.87,Good,0
Amritsar,2019-08-19,16.58,35.71,13.46,9.16,21.71,10.68,0.29,6.64,18.05,2.74,1.06,2.92,35.71,Good,0
Amritsar,2019-08-20,25.06,53.57,13.5,9.19,22.69,10.72,0.53,6.39,24.63,3.15,1.14,2.0,53.57,Satisfactory,0
Amritsar,2019-08-21,42.78,75.93,13.3,9.07,22.38,10.76,0.29,6.24,25.9,3.16,1.14,2.0,75.93,Satisfactory,0
Amritsar,2019-08-22,34.69,70.15,12.91,8.91,21.82,10.92,0.22,6.12,22.01,2.63,1.13,2.0,70.15,Satisfactory,0
Amritsar,2019-08-23,34.9,72.3,13.1,8.83,21.94,11.05,0.24,9.0,28.31,2.25,1.02,2.0,72.3,Satisfactory,0
Amritsar,2019-08-24,42.01,80.46,13.17,8.87,22.01,11.03,0.28,5.79,24.41,2.43,1.12,2.0,80.46,Satisfactory,0
Amritsar,2019-08-26,36.18,45.75,14.23,10.58,21.59,10.75,0.45,9.77,15.82,1.74,0.98,1.87,45.75,Good,0
Amritsar,2019-08-27,36.3,63.21,14.22,9.14,22.63,11.17,0.55,6.49,18.33,2.49,1.13,2.0,63.21,Satisfactory,0
Amritsar,2019-08-28,44.57,73.97,13.1,8.95,21.55,11.12,0.18,8.7,19.26,2.76,1.12,1.98,73.97,Satisfactory,0
Amritsar,2019-08-29,35.47,62.21,14.53,9.47,22.6,11.18,0.3,5.48,20.87,2.2,1.1,1.98,62.21,Satisfactory,0
Amritsar,2019-08-30,37.27,62.08,22.98,11.54,31.46,12.7,0.47,6.96,18.45,2.12,1.11,2.0,62.08,Satisfactory,0
Amritsar,2019-08-31,42.27,66.27,21.96,19.49,37.54,11.58,0.61,6.46,19.43,2.34,1.12,2.0,66.27,Satisfactory,0
Amritsar,2019-09-01,41.31,67.58,13.2,8.82,21.98,11.05,0.38,5.8,17.12,2.5,1.12,2.0,67.58,Satisfactory,0
Amritsar,2019-09-02,29.85,53.6,13.17,8.92,22.06,11.09,0.57,9.33,15.45,2.21,1.11,2.0,53.6,Satisfactory,0
Amritsar,2019-09-03,41.67,71.05,13.23,8.81,21.81,11.06,1.49,21.08,29.75,2.45,1.42,1.96,74.5,Satisfactory,0
Amritsar,2019-09-04,43.4,142.24,13.25,8.81,22.06,11.07,0.82,5.98,34.02,1.99,1.11,2.0,142.24,Moderate,0
Amritsar,2019-09-05,20.82,36.97,13.25,8.81,22.06,11.07,0.68,5.7,21.35,1.72,1.1,2.0,36.97,Good,0
Amritsar,2019-09-06,32.17,53.74,13.24,8.81,21.81,11.07,0.94,6.19,13.45,1.79,1.09,1.98,53.74,Satisfactory,0
Amritsar,2019-09-07,32.83,58.77,13.26,8.77,22.03,11.08,1.0,6.3,13.84,1.97,1.11,2.0,58.77,Satisfactory,0
Amritsar,2019-09-08,28.54,56.86,16.3,12.06,25.35,11.66,0.84,5.78,14.57,2.03,1.11,2.0,56.86,Satisfactory,0
Amritsar,2019-09-09,38.61,76.3,22.78,16.01,32.96,12.24,1.17,7.33,17.04,2.06,1.1,1.98,76.3,Satisfactory,0
Amritsar,2019-09-10,39.22,75.57,14.89,11.7,24.65,9.68,0.94,9.5,14.2,2.08,1.13,2.0,75.57,Satisfactory,0
Amritsar,2019-09-11,41.36,79.85,13.16,11.2,23.58,9.48,0.3,9.68,15.6,2.04,1.11,2.0,79.85,Satisfactory,0
Amritsar,2019-09-12,40.96,75.26,13.75,10.7,23.86,9.46,0.86,9.26,19.2,1.9,1.11,2.0,75.26,Satisfactory,0
Amritsar,2019-09-13,35.44,63.1,13.54,10.91,23.88,9.48,1.13,12.01,29.03,1.74,1.1,2.0,63.1,Satisfactory,0
Amritsar,2019-09-14,45.56,70.58,17.74,14.37,30.73,9.51,1.52,16.32,19.24,1.92,1.18,1.98,76.0,Satisfactory,0
Amritsar,2019-09-15,42.86,69.71,16.53,10.58,23.69,9.61,0.67,7.64,22.4,2.07,1.1,1.98,69.71,Satisfactory,0
Amritsar,2019-09-16,33.95,61.35,18.8,17.21,28.34,10.34,0.47,12.85,24.2,1.92,1.08,1.96,61.35,Satisfactory,0
Amritsar,2019-09-17,37.32,65.85,15.01,11.66,25.01,9.59,0.09,15.59,28.21,2.02,1.11,2.0,65.85,Satisfactory,0
Amritsar,2019-09-18,43.51,74.09,13.95,10.94,24.26,9.55,0.35,12.01,26.59,2.04,1.22,2.0,74.09,Satisfactory,0
Amritsar,2019-09-19,31.24,54.09,14.64,11.3,24.58,9.65,1.37,15.55,23.48,1.78,1.1,2.0,68.5,Satisfactory,0
Amritsar,2019-09-20,27.76,52.71,14.0,11.15,24.29,9.29,1.29,20.75,24.46,1.85,1.11,2.0,64.5,Satisfactory,0
Amritsar,2019-09-21,33.91,61.33,13.95,11.05,23.54,9.45,1.42,43.86,21.75,1.93,1.08,1.95,71.0,Satisfactory,0
Amritsar,2019-09-22,46.92,76.58,13.6,10.93,23.48,9.62,0.69,41.56,36.57,2.25,1.11,2.0,76.58,Satisfactory,0
Amritsar,2019-09-23,29.63,55.14,13.39,10.91,23.32,9.5,0.51,6.26,32.18,1.83,1.15,1.98,55.14,Satisfactory,0
Amritsar,2019-09-24,29.2,55.32,13.75,10.56,23.89,9.34,0.6,10.52,27.3,1.96,1.11,2.0,55.32,Satisfactory,0
Amritsar,2019-09-25,60.23,82.57,13.29,10.91,23.27,9.46,1.17,20.53,25.56,2.18,1.11,2.0,82.57,Satisfactory,0
Amritsar,2019-09-26,78.08,97.22,13.34,10.88,23.3,9.51,0.96,10.46,13.97,2.18,1.08,1.95,97.6,Satisfactory,0
Amritsar,2019-09-27,35.0,62.07,13.04,10.44,23.08,9.32,0.81,13.46,11.17,1.94,1.1,1.98,62.07,Satisfactory,0
Amritsar,2019-09-28,21.75,50.58,13.42,10.49,23.87,9.41,0.68,8.25,11.7,1.81,1.11,2.0,50.58,Satisfactory,0
Amritsar,2019-09-29,12.58,41.81,12.94,10.51,23.2,9.34,0.57,9.96,14.39,1.68,1.09,1.98,41.81,Good,0
Amritsar,2019-09-30,16.26,48.02,13.12,10.54,23.63,9.32,0.56,16.98,11.52,1.66,1.1,2.0,48.02,Good,0
Amritsar,2019-10-01,18.15,51.03,13.16,10.58,23.71,9.36,0.62,21.48,15.92,1.72,1.11,2.0,51.03,Satisfactory,0
Amritsar,2019-10-02,27.76,65.44,13.38,10.66,23.26,9.41,0.82,49.41,18.07,1.88,1.07,1.99,65.44,Satisfactory,0
Amritsar,2019-10-03,28.07,69.46,12.93,10.32,22.75,9.29,0.58,10.21,21.01,2.58,1.09,2.93,69.46,Satisfactory,0
Amritsar,2019-10-04,24.0,51.78,13.19,10.56,23.62,9.32,0.09,6.6,15.08,3.58,1.18,2.91,51.78,Satisfactory,0
Amritsar,2019-10-05,30.18,54.28,12.51,10.3,22.68,8.98,0.21,4.8,27.04,4.02,1.19,2.15,54.28,Satisfactory,0
Amritsar,2019-10-06,66.88,95.67,11.96,12.09,20.86,30.09,0.32,4.7,39.06,5.13,1.2,1.98,95.67,Satisfactory,0
Amritsar,2019-10-07,34.53,75.78,10.57,11.41,20.97,30.69,0.23,3.05,36.75,3.45,1.15,2.0,75.78,Satisfactory,0
Amritsar,2019-10-08,48.2,73.6,12.29,11.35,21.7,31.13,0.28,1.51,35.6,4.2,1.18,2.0,73.6,Satisfactory,0
Amritsar,2019-10-09,47.82,71.06,27.37,12.56,25.77,37.76,0.33,4.19,32.11,3.2,1.07,2.48,71.06,Satisfactory,0
Amritsar,2019-10-10,36.76,64.47,10.5,11.64,20.98,30.77,0.31,1.64,42.89,3.24,1.15,2.0,64.47,Satisfactory,0
Amritsar,2019-10-18,38.85,74.0,11.12,11.53,20.3,30.37,0.39,11.45,18.75,1.84,2.59,1.88,74.0,Satisfactory,0
Amritsar,2019-10-19,22.66,54.08,11.13,11.53,21.65,30.36,0.63,9.21,20.6,2.01,3.51,2.0,54.08,Satisfactory,0
Amritsar,2019-10-20,42.86,107.14,11.16,11.51,21.67,30.36,0.52,7.06,24.61,2.21,3.67,2.0,107.14,Moderate,0
Amritsar,2019-10-21,62.48,136.27,11.15,11.51,21.67,30.36,0.54,7.47,27.11,2.31,3.76,2.0,136.27,Moderate,0
Amritsar,2019-10-22,80.27,181.64,11.27,14.51,24.08,29.79,0.54,12.37,22.51,2.36,3.33,1.96,181.64,Moderate,0
Amritsar,2019-10-23,96.33,172.08,11.63,18.14,28.97,28.99,0.46,13.85,16.81,2.9,3.57,1.96,172.08,Moderate,0
Amritsar,2019-10-24,84.31,132.9,11.04,11.56,21.66,31.4,0.36,13.78,22.45,2.49,3.3,1.92,132.9,Moderate,0
Amritsar,2019-10-25,90.71,135.6,12.5,13.12,23.71,31.44,0.87,15.28,19.52,3.07,3.83,1.96,135.6,Moderate,0
Amritsar,2019-10-26,107.98,161.15,11.28,8.57,19.43,32.46,0.56,15.87,19.54,3.09,3.77,1.98,161.15,Moderate,0
Amritsar,2019-10-27,116.05,181.67,13.78,9.11,22.22,32.83,0.79,17.71,19.78,3.39,3.83,2.03,181.67,Moderate,0
Amritsar,2019-10-28,249.1,303.33,43.34,19.85,55.39,20.44,0.31,34.17,17.9,3.43,4.01,2.06,311.375,Very Poor,0
Amritsar,2019-10-29,111.47,189.73,29.45,10.03,39.44,13.06,0.46,11.65,18.13,3.7,4.4,2.0,189.73,Moderate,0
Amritsar,2019-10-30,127.13,245.27,17.07,9.78,21.98,13.16,0.57,13.88,21.7,2.92,2.91,1.64,245.27,Poor,0
Amritsar,2019-10-31,139.65,226.33,17.01,10.01,26.75,13.1,0.31,10.92,16.02,3.44,4.23,1.98,226.33,Poor,0
Amritsar,2019-11-01,154.49,235.28,17.73,9.94,27.64,12.81,0.37,19.27,15.38,3.53,4.21,2.0,235.28,Poor,0
Amritsar,2019-11-02,110.95,181.95,17.66,9.91,27.24,12.97,0.52,10.06,11.35,2.69,3.27,2.0,181.95,Moderate,0
Amritsar,2019-11-03,155.83,305.4,17.13,10.98,27.05,13.26,0.34,9.75,14.51,2.75,3.41,2.0,305.4,Very Poor,0
Amritsar,2019-11-04,104.21,207.47,18.27,10.64,24.48,12.38,0.71,12.97,12.72,1.79,2.42,1.84,207.47,Poor,0
Amritsar,2019-11-05,97.09,186.99,41.45,32.85,51.49,24.67,0.53,10.5,16.23,2.2,2.58,1.98,186.99,Moderate,0
Amritsar,2019-11-06,137.13,221.46,16.97,9.95,26.71,12.99,0.48,10.68,18.85,2.14,2.49,2.0,221.46,Poor,0
Amritsar,2019-11-07,34.94,71.87,17.16,9.95,26.82,13.01,0.55,8.74,15.72,1.59,1.94,1.98,71.87,Satisfactory,0
Amritsar,2019-11-08,24.18,61.24,17.21,10.04,27.25,13.03,0.8,10.71,16.33,1.56,1.99,2.0,61.24,Satisfactory,0
Amritsar,2019-11-09,42.84,81.33,17.28,10.04,27.28,13.0,0.78,9.2,12.92,2.02,2.7,2.0,81.33,Satisfactory,0
Amritsar,2019-11-10,84.92,143.08,17.28,10.24,27.46,13.05,0.41,10.17,22.42,2.18,2.92,2.0,143.08,Moderate,0
Amritsar,2019-11-11,84.63,158.85,17.16,10.25,27.34,13.06,0.8,11.04,27.87,2.16,2.65,2.0,158.85,Moderate,0
Amritsar,2019-11-12,168.71,313.31,17.19,10.31,27.43,12.92,0.78,12.55,19.71,2.74,3.16,2.0,313.31,Very Poor,0
Amritsar,2019-11-13,189.44,339.69,17.22,10.0,27.22,13.0,0.48,16.3,15.22,3.13,3.65,2.0,339.69,Very Poor,0
Amritsar,2019-11-14,148.61,260.33,17.22,10.09,27.31,12.99,0.56,20.51,10.01,2.81,3.2,2.0,260.33,Poor,0
Amritsar,2019-11-15,103.87,180.68,17.23,10.0,27.24,12.98,0.65,29.92,9.71,2.41,2.72,2.0,180.68,Moderate,0
Amritsar,2019-11-16,86.49,164.0,17.17,9.91,27.08,13.0,0.36,13.01,11.08,2.31,3.22,2.0,164.0,Moderate,0
Amritsar,2019-11-17,42.18,105.92,17.22,10.01,27.23,12.99,0.66,7.93,16.02,1.92,3.16,2.0,105.92,Moderate,0
Amritsar,2019-11-18,101.44,190.56,17.24,10.01,26.96,13.01,0.65,11.37,20.02,2.12,2.83,1.98,190.56,Moderate,0
Amritsar,2019-11-19,147.55,263.97,17.23,10.0,27.23,13.0,0.56,11.86,12.65,3.55,4.6,2.01,263.97,Poor,0
Amritsar,2019-11-20,91.41,253.95,17.22,9.98,27.2,13.0,0.47,13.04,13.14,3.38,4.5,2.01,253.95,Poor,0
Amritsar,2019-11-21,112.55,180.08,13.18,9.99,23.17,12.99,0.66,18.42,10.24,2.55,2.93,2.0,180.08,Moderate,0
Amritsar,2019-11-22,57.31,122.03,9.51,10.01,19.52,13.0,0.59,13.92,7.19,2.37,2.96,2.0,122.03,Moderate,0
Amritsar,2019-11-23,24.07,59.83,9.5,9.99,19.5,13.0,0.67,8.75,13.37,1.91,2.89,2.0,59.83,Satisfactory,0
Amritsar,2019-11-24,32.98,88.49,9.5,9.99,19.49,13.01,0.67,10.45,16.72,2.24,3.26,2.0,88.49,Satisfactory,0
Amritsar,2019-11-25,39.29,146.1,9.5,9.99,19.49,13.0,0.48,10.74,16.08,2.83,3.9,2.01,146.1,Moderate,0
Amritsar,2019-11-26,30.77,80.76,9.53,10.03,19.56,13.08,0.48,16.2,13.5,2.42,3.18,1.98,80.76,Satisfactory,0
Amritsar,2019-11-27,31.91,46.08,9.51,10.02,19.54,13.0,0.63,14.87,11.14,1.81,2.17,2.0,46.08,Good,0
Amritsar,2019-11-28,25.36,39.49,9.52,9.85,19.31,13.04,0.65,12.42,11.47,1.7,2.08,2.0,39.49,Good,0
Amritsar,2019-11-29,26.37,51.37,9.83,10.32,19.82,9.12,0.74,13.18,15.19,1.84,2.44,2.0,51.37,Satisfactory,0
Amritsar,2019-11-30,41.64,69.84,9.6,10.15,19.52,5.02,0.64,8.22,19.66,1.99,2.77,2.0,69.84,Satisfactory,0
Amritsar,2019-12-01,60.29,99.83,9.54,10.06,19.6,4.93,0.71,8.9,24.19,2.41,3.08,2.0,99.83,Satisfactory,0
Amritsar,2019-12-02,84.89,137.8,9.65,9.93,19.5,5.01,0.5,9.17,26.53,2.93,3.45,2.0,137.8,Moderate,0
Amritsar,2019-12-03,87.69,140.27,9.51,10.05,19.2,5.1,0.59,10.68,22.89,3.1,3.37,1.98,140.27,Moderate,0
Amritsar,2019-12-04,90.75,145.52,10.45,10.6,19.15,5.34,0.16,13.24,23.74,2.99,3.19,1.96,145.52,Moderate,0
Amritsar,2019-12-05,66.85,103.82,11.81,13.89,20.33,5.53,0.5,9.82,21.56,2.38,2.82,1.9,103.82,Moderate,0
Amritsar,2019-12-06,54.62,84.09,10.47,11.54,20.38,5.25,0.24,11.64,17.87,2.42,2.96,2.0,84.09,Satisfactory,0
Amritsar,2019-12-07,74.16,111.95,10.88,10.78,18.86,5.19,0.82,18.45,17.24,2.74,3.28,1.85,111.95,Moderate,0
Amritsar,2019-12-08,67.0,114.79,11.94,12.9,21.4,5.63,0.74,12.39,20.02,3.23,3.99,1.98,114.79,Moderate,0
Amritsar,2019-12-09,103.57,162.16,14.29,15.08,23.71,6.76,0.7,12.35,19.0,3.15,3.69,2.0,162.16,Moderate,0
Amritsar,2019-12-10,128.64,202.77,11.96,14.02,21.02,6.05,0.66,10.06,19.17,2.99,3.0,2.0,202.77,Poor,0
Amritsar,2019-12-11,86.0,132.04,11.49,12.72,20.34,5.63,0.54,13.79,17.99,2.62,2.7,2.0,132.04,Moderate,0
Amritsar,2019-12-12,28.77,44.31,11.17,12.31,17.56,5.95,0.72,4.02,13.14,1.61,1.62,1.93,44.31,Good,0
Amritsar,2019-12-13,24.95,35.96,12.59,14.74,22.04,6.11,0.77,4.81,16.97,1.6,1.8,1.98,38.5,Good,0
Amritsar,2019-12-14,39.26,47.36,12.76,13.75,21.92,6.29,0.71,7.47,16.45,1.77,2.09,2.0,49.074999999999996,Good,0
Amritsar,2019-12-15,30.72,38.24,10.88,11.28,20.2,5.37,0.64,6.67,22.0,1.76,2.1,1.96,38.4,Good,0
Amritsar,2019-12-16,41.03,51.31,12.58,12.41,21.73,5.8,0.81,5.42,24.54,1.74,1.98,1.98,51.31,Satisfactory,0
Amritsar,2019-12-17,49.45,64.66,13.29,13.0,21.65,6.2,0.65,5.64,23.2,1.89,1.81,1.98,64.66,Satisfactory,0
Amritsar,2019-12-18,58.96,85.25,13.08,14.96,21.71,6.77,0.72,6.09,24.27,2.1,2.03,1.98,85.25,Satisfactory,0
Amritsar,2019-12-19,63.18,80.52,12.08,12.09,21.16,5.65,0.68,5.98,19.51,1.68,1.58,1.93,80.52,Satisfactory,0
Amritsar,2019-12-20,108.34,125.24,11.99,11.94,21.0,5.61,0.62,7.66,20.05,2.09,1.91,2.0,135.425,Moderate,0
Amritsar,2019-12-21,52.95,69.41,13.13,13.09,21.88,5.98,0.63,6.56,26.89,2.08,2.13,2.0,69.41,Satisfactory,0
Amritsar,2019-12-22,62.11,84.25,11.19,12.12,20.52,5.7,0.61,5.04,23.21,2.0,2.0,2.0,84.25,Satisfactory,0
Amritsar,2019-12-23,69.27,101.77,12.78,13.24,21.79,5.93,0.53,7.18,23.26,2.02,1.84,1.98,101.77,Moderate,0
Amritsar,2019-12-24,97.42,128.35,9.53,9.83,18.23,5.18,0.64,7.05,32.52,1.78,1.63,1.9,128.35,Moderate,0
Amritsar,2019-12-25,52.73,76.1,10.3,10.53,19.5,5.3,0.74,6.27,48.65,1.72,1.74,2.0,76.1,Satisfactory,0
Amritsar,2019-12-26,58.57,84.32,10.44,10.62,20.2,4.87,0.8,6.96,46.13,1.69,1.65,1.96,84.32,Satisfactory,0
Amritsar,2019-12-27,77.3,105.41,10.48,10.73,19.7,5.17,0.73,11.3,53.99,1.68,1.62,1.98,105.41,Moderate,0
Amritsar,2019-12-28,80.31,106.95,9.62,10.78,19.14,5.07,0.64,11.47,66.65,1.59,1.57,1.96,106.95,Moderate,0
Amritsar,2019-12-29,80.8,107.95,10.05,10.88,19.25,5.15,0.75,10.01,66.7,1.62,1.62,1.98,107.95,Moderate,0
Amritsar,2019-12-30,71.17,97.83,9.78,10.78,17.36,4.97,0.4,7.65,31.33,1.56,1.34,1.75,97.83,Satisfactory,0
Amritsar,2019-12-31,71.0,98.3,9.93,10.0,19.75,5.04,0.59,8.42,24.9,1.75,1.47,2.0,98.3,Satisfactory,0
Amritsar,2020-01-01,94.38,137.93,9.91,10.38,18.95,5.1,0.42,15.79,40.21,2.62,2.4,1.98,137.93,Moderate,0
Amritsar,2020-01-02,80.8,115.13,9.91,10.44,18.85,8.93,0.3,12.54,7.82,2.77,2.78,1.9,115.13,Moderate,0
Amritsar,2020-01-03,78.22,110.89,9.63,10.03,18.02,11.99,0.62,11.43,27.0,2.61,2.97,1.82,110.89,Moderate,0
Amritsar,2020-01-04,96.86,134.78,9.35,10.02,19.27,11.99,0.11,8.12,36.13,3.43,3.81,2.0,134.78,Moderate,0
Amritsar,2020-01-05,65.12,95.22,9.51,9.67,17.61,12.16,0.28,11.92,32.48,2.25,2.44,1.85,95.22,Satisfactory,0
Amritsar,2020-01-06,33.39,47.36,10.21,10.43,20.35,11.87,0.6,6.75,38.56,1.74,1.8,2.0,47.36,Good,0
Amritsar,2020-01-07,36.74,46.3,9.75,9.77,19.28,11.99,0.57,7.53,8.63,1.76,1.7,2.0,46.3,Good,0
Amritsar,2020-01-08,24.14,31.7,9.89,10.12,18.84,12.01,0.62,6.32,22.11,1.51,1.52,1.9,31.7,Good,0
Amritsar,2020-01-09,56.17,80.34,9.68,10.05,19.07,11.94,0.68,20.5,23.77,2.11,1.84,1.92,80.34,Satisfactory,0
Amritsar,2020-01-10,55.79,76.73,9.78,9.74,19.48,12.02,0.47,6.87,39.56,2.14,2.09,2.0,76.73,Satisfactory,0
Amritsar,2020-01-11,55.64,80.28,9.37,10.19,19.5,11.99,0.73,10.87,36.72,2.02,2.14,2.0,80.28,Satisfactory,0
Amritsar,2020-01-12,44.56,73.05,9.55,9.99,18.76,12.1,0.8,17.99,17.71,2.29,2.78,1.94,73.05,Satisfactory,0
Amritsar,2020-01-13,47.0,61.51,9.67,10.01,19.68,12.06,0.4,6.24,25.62,1.83,2.09,2.0,61.51,Satisfactory,0
Amritsar,2020-01-14,31.25,83.72,9.17,9.89,17.82,11.99,0.66,6.54,20.19,1.45,1.55,1.86,83.72,Satisfactory,0
Amritsar,2020-01-20,64.93,108.1,9.57,10.17,19.06,11.96,0.68,7.84,15.94,2.09,2.01,1.94,108.1,Moderate,0
Amritsar,2020-01-21,37.05,69.74,9.44,10.04,19.14,12.0,0.63,15.16,22.56,1.87,1.92,1.95,69.74,Satisfactory,0
